Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
ca937677-de7c-c831-1d01-9ecc06d50f46,2022-07-21,,999-40-8847,,,,Antone63,,Reichel38,,,,white,nonhispanic,M,Leominster  Massachusetts  US,435 Schinner Row,Concord,Massachusetts,Middlesex County,,00000,42.43280340189339,-71.41295727674097,13129.44,0.00,170465
83591dec-99d7-4491-ff3c-e4eda69967d9,1998-08-19,,999-21-7986,S99960632,X56952047X,Mr.,Ross213,,Jacobson885,,,,white,nonhispanic,M,Southborough  Massachusetts  US,680 Fay Rue Suite 27,Worcester,Massachusetts,Worcester County,25027,01607,42.31103592505747,-71.67328216301091,7459.53,253019.57,5502
77d3ad04-ec61-32fa-feda-1dfe4ba8fccb,2008-02-07,,999-76-8624,S99946770,,Mr.,Tony646,,Christiansen251,,,,white,nonhispanic,M,East Bridgewater  Massachusetts  US,833 Frami Fort Unit 76,Watertown,Massachusetts,Middlesex County,25017,02472,42.40876025909174,-71.14367600428,27072.51,23288.81,194571
d866216d-32df-593e-5b01-70c3288ecd65,1993-03-09,,999-26-2703,S99983682,X67152475X,Mrs.,Latrisha74,Eleonora961,Ferry570,,Funk324,M,white,nonhispanic,F,Webster  Massachusetts  US,208 Reinger Corner,Lowell,Massachusetts,Middlesex County,25017,01854,42.616108540522646,-71.27385334438553,125531.01,364027.64,91433
4dacb63b-f2a5-8208-5c1a-588e0341b399,1972-04-08,,999-46-8719,S99925919,X49523307X,Mr.,Dexter530,Mohamed943,Spinka232,,,S,white,nonhispanic,M,Boston  Massachusetts  US,1033 Thompson Path Apt 28,Worcester,Massachusetts,Worcester County,25027,01545,42.198117058734454,-71.80399430039168,59611.48,58030.07,42921
eb4095b3-8f5d-3b6d-76ac-1dee1256087e,1983-04-10,,999-84-2621,S99965671,X24620424X,Ms.,Maribel82,Dena356,Parker433,,,S,white,nonhispanic,F,Springfield  Massachusetts  US,407 Schulist Heights Unit 41,Stoughton,Massachusetts,Norfolk County,,00000,42.09912060845988,-71.11736309283467,200090.19,487082.94,60100
4d998a2c-c405-4fc5-2590-c67f77256734,1977-06-10,,999-17-9665,S99944685,X50077870X,Mr.,Stephen891,Kenneth671,Schamberger479,,,D,white,nonhispanic,M,Lynn  Massachusetts  US,508 Grady Rest,Natick,Massachusetts,Middlesex County,,00000,42.31411891825938,-71.3467636654022,60355.28,4871.62,67005
8fafaf2a-2f2e-041e-af76-1d740ea9d955,1997-09-21,,999-92-8986,S99952561,X61947905X,Mrs.,Elisa944,Kenneth671,Balistreri607,,Donnelly343,M,white,nonhispanic,F,Williamstown  Massachusetts  US,373 Prosacco Green,Boston,Massachusetts,Suffolk County,25025,02203,42.354105512114984,-71.077488725546,39587.77,1101919.79,35733
373487ac-3e85-2ef7-a9ce-0de9558702cf,2012-09-04,,999-90-1471,,,,Artie871,Clorinda310,Dach178,,,,white,nonhispanic,F,Boston  Massachusetts  US,798 Carter Trace,Boston,Massachusetts,Suffolk County,25025,02152,42.27672656434504,-71.03366715310699,19016.10,0.00,46549
9a974acf-32f3-9a2e-1da8-1aa9d3662788,2010-09-06,,999-15-7501,,,,Sook872,Krishna674,Lind531,,,,white,nonhispanic,F,Somerset  Massachusetts  US,1070 Streich Underpass Unit 38,Leominster,Massachusetts,Worcester County,25027,01453,42.58813215568989,-71.80149599939931,18708.35,9863.49,84819
